feature,importance
V_transfers,0.6614329366510568
F_transfers,0.06277978476088684
WEBVISIT_2023,0.03300501014788788
TOTAL_CLICKTHROUGHS,0.03272233751606324
WEBVISIT_2024,0.02373589011373534
B_transfers,0.01933480612647795
eigenvector,0.018596186947791082
TRANSFERS_2023,0.018342545414703152
community,0.01534508634811372
H_transfers,0.013675051783036638
WEBVISIT_2022,0.01225871671104886
TOTAL_TRANSFERS,0.01199263710613838
out_degree,0.011944291169318002
degree_centrality,0.010568719170963803
TRANSFERS_2024,0.009814893086858912
betweenness,0.009008458180790584
unique_recipients,0.008678802093167045
TRANSFERS_2022,0.00848645405153895
WH_transfers,0.006340307516314543
TRANSFERS_2021,0.004574120747741424
WB_transfers,0.004098994323293383
WR_transfers,0.0014819194418131038
C_transfers,0.0014232888899526725
WEBVISIT_2021,0.00029910220169764365
TRANSFERS_2020,5.965949960998534e-05
WEBVISIT_2020,0.0
